ToM (+2400000);Ucrt(d);Type;E,Phi;P_Shift;E GCVS;O-C (d);Observer;Reference (see bibliography);source
45008.3200;0.050;vis;-2452.89;0;-2453;0.410;Koehler;Meyer 2023;BAV
45012.2900;0.050;vis;-2451.82;0;-2452;0.660;Koehler;Meyer 2023;BAV
45023.3200;0.050;vis;-2448.87;0;-2449;0.500;Koehler;Meyer 2023;BAV
45075.4350;0.150;V;-2434.89;0;-2435;0.420;Ratz & Schille 1988;Ratz & Schille, 1988;ADS
45105.1580;0.150;V;-2426.92;0;-2427;0.310;Ratz & Schille 1988;Ratz & Schille, 1988;ADS
45108.9770;0.150;un.;-2425.89;0;-2426;0.400;un.;Turner 2007 tab. 3;AAVSO
45463.1890;0.150;un.;-2330.89;0;-2331;0.410;un.;Turner 2007 tab. 3;AAVSO
45746.3700;0.200;vis;-2254.94;0;-2255;0.220;BTL (Boistel);GEOS this paper;GEOS
45817.3500;0.150;vis;-2235.90;0;-2236;0.360;SD (Schmidt);BAV DataB;BAV
45835.9520;0.150;un.;-2230.91;0;-2231;0.320;un.;Turner 2007 tab. 3;AAVSO
46007.4500;0.150;V;-2184.92;0;-2185;0.310;Kohler;Kohler;ADS
46074.5700;0.150;vis;-2166.91;0;-2167;0.320;un.;AAVSO Berdnikov 2003;AAVSO
46093.2400;0.150;V;-2161.91;0;-2162;0.340;Ratz & Schille 1988;Ratz & Schille, 1988;ADS
46100.3100;0.050;vis;-2160.01;0;-2160;-0.040;Koehler;Meyer 2023;BAV
46104.2800;0.050;vis;-2158.95;0;-2159;0.200;Raetz;Meyer 2023;BAV
46119.3000;0.150;vis;-2154.92;0;-2155;0.310;Coll.;Gobet 1989;GEOS
46190.1690;0.150;un.;-2135.91;0;-2136;0.330;un.;Turner 2007 tab. 3;AAVSO
46261.0000;0.150;vis;-2116.91;0;-2117;0.320;un.;AAVSO Berdnikov 2003;AAVSO
46330.8500;0.150;vis;-2098.18;0;-2098;-0.670;SM (Sturm);BAV DataB;BAV
46398.9410;0.150;pv;-2079.92;0;-2080;0.310;Minsk Arch.;Turner 2007 tab. 3;ADS
46454.9100;0.150;vis;-2064.91;0;-2065;0.350;Coll.;Gobet 1989;GEOS
46488.5800;0.150;pe;-2055.88;0;-2056;0.470;Goldman et al. 1988;Turner 2007 tab.2;ADS
46492.2300;0.050;vis;-2054.90;0;-2055;0.390;Bryuchanow;Meyer 2023;BAV
46507.0300;0.050;vis;-2050.93;0;-2051;0.270;Berger;Meyer 2023;BAV
46518.4050;0.150;pe;-2047.88;0;-2048;0.460;Goldman et al. 1988;Turner 2007 tab.2;ADS
46563.0270;0.150;vis;-2035.91;0;-2036;0.340;un.;Turner 2007 tab. 3;AAVSO
46798.4200;0.150;vis;-1972.77;0;-1973;0.840;BTL (Boistel);GEOS this paper;GEOS
46824.2990;0.150;pe;-1965.83;0;-1966;0.620;Goldman et al. 1988;Turner 2007 tab.2;ADS
46825.2500;0.150;vis;-1965.58;0;-1966;1.570;SM (Sturm);BAV DataB;BAV
46827.9000;0.150;pe;-1964.87;0;-1965;0.490;Goldman et al. 1988;Turner 2007 tab.2;ADS
46842.5740;0.150;un.;-1960.93;0;-1961;0.250;Bryukhanov;Turner 2007 tab. 3;ADS
46846.4200;0.150;vis;-1959.90;0;-1960;0.370;Coll.;Gobet 1989;GEOS
46850.2980;0.150;pe;-1958.86;0;-1959;0.520;Goldman et al. 1988;Turner 2007 tab.2;ADS
46917.3040;0.150;un.;-1940.89;0;-1941;0.410;Anon. 1987;Turner 2007 tab.2;ADS
46935.8700;0.150;un.;-1935.91;0;-1936;0.340;Anon. 1987;Turner 2007;ADS
